Driver,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,LapTimeSeconds
HAM,1.0,0 days 00:01:36.034000,MEDIUM,1.0,1.0,,,96.034
HAM,2.0,0 days 00:01:31.420000,MEDIUM,2.0,1.0,,,91.42
HAM,3.0,0 days 00:01:31.716000,MEDIUM,3.0,1.0,,,91.716
HAM,4.0,0 days 00:01:31.988000,MEDIUM,4.0,1.0,,,91.988
HAM,5.0,0 days 00:01:31.677000,MEDIUM,5.0,1.0,,,91.677
HAM,6.0,0 days 00:01:31.746000,MEDIUM,6.0,1.0,,,91.746
HAM,7.0,0 days 00:01:31.675000,MEDIUM,7.0,1.0,,,91.675
HAM,8.0,0 days 00:01:31.760000,MEDIUM,8.0,1.0,,,91.76
HAM,9.0,0 days 00:01:31.564000,MEDIUM,9.0,1.0,,,91.564
HAM,10.0,0 days 00:01:31.515000,MEDIUM,10.0,1.0,,,91.515
HAM,11.0,0 days 00:01:31.487000,MEDIUM,11.0,1.0,,,91.487
HAM,12.0,0 days 00:01:31.563000,MEDIUM,12.0,1.0,,,91.563
HAM,13.0,0 days 00:01:31.881000,MEDIUM,13.0,1.0,,,91.881
HAM,14.0,0 days 00:01:31.609000,MEDIUM,14.0,1.0,,,91.609
HAM,15.0,0 days 00:01:31.563000,MEDIUM,15.0,1.0,,,91.563
HAM,16.0,0 days 00:01:31.931000,MEDIUM,16.0,1.0,,,91.931
HAM,17.0,0 days 00:01:33.721000,MEDIUM,17.0,1.0,,,93.721
HAM,18.0,0 days 00:01:35.071000,MEDIUM,18.0,1.0,,,95.071
HAM,19.0,0 days 00:01:43.711000,MEDIUM,19.0,1.0,,,103.711
HAM,20.0,0 days 00:01:40.021000,MEDIUM,20.0,1.0,,,100.021
HAM,21.0,0 days 00:01:32.156000,MEDIUM,21.0,1.0,,,92.156
HAM,22.0,0 days 00:01:31.095000,MEDIUM,22.0,1.0,,,91.095
HAM,23.0,0 days 00:01:31.107000,MEDIUM,23.0,1.0,,,91.107
HAM,24.0,0 days 00:01:31.635000,MEDIUM,24.0,1.0,,,91.635
HAM,25.0,0 days 00:01:34.988000,MEDIUM,25.0,1.0,,,94.988
HAM,26.0,0 days 00:01:40.792000,MEDIUM,26.0,1.0,,,100.792
HAM,29.0,0 days 00:01:40.420000,INTERMEDIATE,2.0,2.0,,,100.42
HAM,30.0,0 days 00:01:40.467000,INTERMEDIATE,3.0,2.0,,,100.467
HAM,31.0,0 days 00:01:41.538000,INTERMEDIATE,4.0,2.0,,,101.538
HAM,32.0,0 days 00:01:42.475000,INTERMEDIATE,5.0,2.0,,,102.475
HAM,33.0,0 days 00:01:42.435000,INTERMEDIATE,6.0,2.0,,,102.435
HAM,34.0,0 days 00:01:42.757000,INTERMEDIATE,7.0,2.0,,,102.757
HAM,35.0,0 days 00:01:42.271000,INTERMEDIATE,8.0,2.0,,,102.271
HAM,36.0,0 days 00:01:41.924000,INTERMEDIATE,9.0,2.0,,,101.924
HAM,37.0,0 days 00:01:39.711000,INTERMEDIATE,10.0,2.0,,,99.711
HAM,40.0,0 days 00:01:30.318000,SOFT,3.0,3.0,,,90.318
HAM,41.0,0 days 00:01:30.118000,SOFT,4.0,3.0,,,90.118
HAM,42.0,0 days 00:01:29.617000,SOFT,5.0,3.0,,,89.617
HAM,43.0,0 days 00:01:29.793000,SOFT,6.0,3.0,,,89.793
HAM,44.0,0 days 00:01:29.697000,SOFT,7.0,3.0,,,89.697
HAM,45.0,0 days 00:01:29.438000,SOFT,8.0,3.0,,,89.438
HAM,46.0,0 days 00:01:29.641000,SOFT,9.0,3.0,,,89.641
HAM,47.0,0 days 00:01:29.538000,SOFT,10.0,3.0,,,89.538
HAM,48.0,0 days 00:01:29.579000,SOFT,11.0,3.0,,,89.579
HAM,49.0,0 days 00:01:29.667000,SOFT,12.0,3.0,,,89.667
HAM,50.0,0 days 00:01:29.682000,SOFT,13.0,3.0,,,89.682
HAM,51.0,0 days 00:01:29.743000,SOFT,14.0,3.0,,,89.743
HAM,52.0,0 days 00:01:30.146000,SOFT,15.0,3.0,,,90.146
VER,1.0,0 days 00:01:36.711000,MEDIUM,1.0,1.0,,,96.711
VER,2.0,0 days 00:01:31.773000,MEDIUM,2.0,1.0,,,91.773
VER,3.0,0 days 00:01:32.200000,MEDIUM,3.0,1.0,,,92.2
VER,4.0,0 days 00:01:31.933000,MEDIUM,4.0,1.0,,,91.933
VER,5.0,0 days 00:01:31.778000,MEDIUM,5.0,1.0,,,91.778
VER,6.0,0 days 00:01:31.711000,MEDIUM,6.0,1.0,,,91.711
VER,7.0,0 days 00:01:31.935000,MEDIUM,7.0,1.0,,,91.935
VER,8.0,0 days 00:01:32.038000,MEDIUM,8.0,1.0,,,92.038
VER,9.0,0 days 00:01:31.883000,MEDIUM,9.0,1.0,,,91.883
VER,10.0,0 days 00:01:31.661000,MEDIUM,10.0,1.0,,,91.661
VER,11.0,0 days 00:01:31.810000,MEDIUM,11.0,1.0,,,91.81
VER,12.0,0 days 00:01:31.894000,MEDIUM,12.0,1.0,,,91.894
VER,13.0,0 days 00:01:31.759000,MEDIUM,13.0,1.0,,,91.759
VER,14.0,0 days 00:01:31.700000,MEDIUM,14.0,1.0,,,91.7
VER,15.0,0 days 00:01:32.249000,MEDIUM,15.0,1.0,,,92.249
VER,16.0,0 days 00:01:32.504000,MEDIUM,16.0,1.0,,,92.504
VER,17.0,0 days 00:01:35.359000,MEDIUM,17.0,1.0,,,95.359
VER,18.0,0 days 00:01:36.172000,MEDIUM,18.0,1.0,,,96.172
VER,19.0,0 days 00:01:42.485000,MEDIUM,19.0,1.0,,,102.485
VER,20.0,0 days 00:01:37.108000,MEDIUM,20.0,1.0,,,97.108
VER,21.0,0 days 00:01:33.488000,MEDIUM,21.0,1.0,,,93.488
VER,22.0,0 days 00:01:31.904000,MEDIUM,22.0,1.0,,,91.904
VER,23.0,0 days 00:01:32.143000,MEDIUM,23.0,1.0,,,92.143
VER,24.0,0 days 00:01:33.020000,MEDIUM,24.0,1.0,,,93.02
VER,25.0,0 days 00:01:36.063000,MEDIUM,25.0,1.0,,,96.063
VER,28.0,0 days 00:01:41.176000,INTERMEDIATE,2.0,2.0,,,101.176
VER,29.0,0 days 00:01:41.533000,INTERMEDIATE,3.0,2.0,,,101.533
VER,30.0,0 days 00:01:42.098000,INTERMEDIATE,4.0,2.0,,,102.098
VER,31.0,0 days 00:01:42.025000,INTERMEDIATE,5.0,2.0,,,102.025
VER,32.0,0 days 00:01:42.538000,INTERMEDIATE,6.0,2.0,,,102.538
VER,33.0,0 days 00:01:42.606000,INTERMEDIATE,7.0,2.0,,,102.606
VER,34.0,0 days 00:01:42.447000,INTERMEDIATE,8.0,2.0,,,102.447
VER,35.0,0 days 00:01:43.029000,INTERMEDIATE,9.0,2.0,,,103.029
VER,36.0,0 days 00:01:41.958000,INTERMEDIATE,10.0,2.0,,,101.958
VER,37.0,0 days 00:01:38.869000,INTERMEDIATE,11.0,2.0,,,98.869
VER,40.0,0 days 00:01:30.056000,HARD,2.0,3.0,,,90.056
VER,41.0,0 days 00:01:29.604000,HARD,3.0,3.0,,,89.604
VER,42.0,0 days 00:01:29.472000,HARD,4.0,3.0,,,89.472
VER,43.0,0 days 00:01:29.105000,HARD,5.0,3.0,,,89.105
VER,44.0,0 days 00:01:29.372000,HARD,6.0,3.0,,,89.372
VER,45.0,0 days 00:01:29.137000,HARD,7.0,3.0,,,89.137
VER,46.0,0 days 00:01:29.543000,HARD,8.0,3.0,,,89.543
VER,47.0,0 days 00:01:29.411000,HARD,9.0,3.0,,,89.411
VER,48.0,0 days 00:01:28.952000,HARD,10.0,3.0,,,88.952
VER,49.0,0 days 00:01:29.560000,HARD,11.0,3.0,,,89.56
VER,50.0,0 days 00:01:29.286000,HARD,12.0,3.0,,,89.286
VER,51.0,0 days 00:01:29.443000,HARD,13.0,3.0,,,89.443
VER,52.0,0 days 00:01:29.089000,HARD,14.0,3.0,,,89.089
NOR,1.0,0 days 00:01:37.347000,MEDIUM,1.0,1.0,,,97.347
NOR,2.0,0 days 00:01:32.188000,MEDIUM,2.0,1.0,,,92.188
NOR,3.0,0 days 00:01:31.991000,MEDIUM,3.0,1.0,,,91.991
NOR,4.0,0 days 00:01:31.976000,MEDIUM,4.0,1.0,,,91.976
NOR,5.0,0 days 00:01:31.716000,MEDIUM,5.0,1.0,,,91.716
NOR,6.0,0 days 00:01:31.896000,MEDIUM,6.0,1.0,,,91.896
NOR,7.0,0 days 00:01:32.071000,MEDIUM,7.0,1.0,,,92.071
NOR,8.0,0 days 00:01:32.018000,MEDIUM,8.0,1.0,,,92.018
NOR,9.0,0 days 00:01:31.976000,MEDIUM,9.0,1.0,,,91.976
NOR,10.0,0 days 00:01:31.830000,MEDIUM,10.0,1.0,,,91.83
NOR,11.0,0 days 00:01:31.748000,MEDIUM,11.0,1.0,,,91.748
NOR,12.0,0 days 00:01:31.718000,MEDIUM,12.0,1.0,,,91.718
NOR,13.0,0 days 00:01:31.472000,MEDIUM,13.0,1.0,,,91.472
NOR,14.0,0 days 00:01:31.407000,MEDIUM,14.0,1.0,,,91.407
NOR,15.0,0 days 00:01:30.946000,MEDIUM,15.0,1.0,,,90.946
NOR,16.0,0 days 00:01:31.690000,MEDIUM,16.0,1.0,,,91.69
NOR,17.0,0 days 00:01:34.304000,MEDIUM,17.0,1.0,,,94.304
NOR,18.0,0 days 00:01:34.125000,MEDIUM,18.0,1.0,,,94.125
NOR,19.0,0 days 00:01:41.436000,MEDIUM,19.0,1.0,,,101.436
NOR,20.0,0 days 00:01:37.704000,MEDIUM,20.0,1.0,,,97.704
NOR,21.0,0 days 00:01:31.513000,MEDIUM,21.0,1.0,,,91.513
NOR,22.0,0 days 00:01:30.860000,MEDIUM,22.0,1.0,,,90.86
NOR,23.0,0 days 00:01:31.176000,MEDIUM,23.0,1.0,,,91.176
NOR,24.0,0 days 00:01:31.629000,MEDIUM,24.0,1.0,,,91.629
NOR,25.0,0 days 00:01:34.307000,MEDIUM,25.0,1.0,,,94.307
NOR,26.0,0 days 00:01:41.515000,MEDIUM,26.0,1.0,,,101.515
NOR,29.0,0 days 00:01:40.266000,INTERMEDIATE,2.0,2.0,,,100.266
NOR,30.0,0 days 00:01:40.717000,INTERMEDIATE,3.0,2.0,,,100.717
NOR,31.0,0 days 00:01:41.313000,INTERMEDIATE,4.0,2.0,,,101.313
NOR,32.0,0 days 00:01:42.216000,INTERMEDIATE,5.0,2.0,,,102.216
NOR,33.0,0 days 00:01:42.607000,INTERMEDIATE,6.0,2.0,,,102.607
NOR,34.0,0 days 00:01:43.078000,INTERMEDIATE,7.0,2.0,,,103.078
NOR,35.0,0 days 00:01:42.935000,INTERMEDIATE,8.0,2.0,,,102.935
NOR,36.0,0 days 00:01:42.340000,INTERMEDIATE,9.0,2.0,,,102.34
NOR,37.0,0 days 00:01:39.786000,INTERMEDIATE,10.0,2.0,,,99.786
NOR,38.0,0 days 00:01:37.999000,INTERMEDIATE,11.0,2.0,,,97.999
NOR,41.0,0 days 00:01:29.733000,SOFT,4.0,3.0,,,89.733
